#{"t_start": 1766985340.4901006, "env_id": "BipedalWalker-v3"}
r,l,t
-99.341117,86,7.019267
-97.506428,70,7.763687
-113.3404,711,14.060112
-152.999643,590,27.152561
-145.719021,463,36.209191
-105.53612,74,37.600695
-111.191301,67,38.806061
-101.985094,92,40.524862
-104.701142,106,42.613468
-106.267081,94,44.368881
-106.638742,116,46.559046
-118.336641,47,47.419502
-106.793986,158,50.308642
-119.917422,51,51.288537
-132.984547,133,53.757944
-136.167608,128,56.106907
-140.238628,182,59.474819
-148.417756,433,67.385293
-121.880642,122,69.565116
-93.292684,212,73.43568
-120.519485,227,77.685484
-115.551378,160,80.589049
-186.892443,1600,110.345711
-126.250216,138,112.920972
-121.393408,81,114.458709
-121.198312,78,118.185752
-100.512664,1600,172.444598
-150.870056,1600,408.476671
-101.651294,525,423.557526
-110.171575,145,526.088787
-97.340217,315,532.047968
-90.634746,182,535.342299
-94.79294,172,538.712257
-94.422279,159,541.647915
-85.266196,849,558.169913
-105.204043,112,560.378218
-106.012396,152,563.456313
-25.014482,1600,599.115866
-83.426454,101,601.4541
-122.909389,63,603.147918
-103.461549,634,616.912003
-94.017228,229,622.011288
-122.000539,549,634.035925
29.447231,1473,666.373567
-98.761554,291,672.605959
-21.15168,595,685.542457
357.157728,1600,725.587556
231.765303,1463,1006.188232
-70.097408,326,1020.562514
65.835231,962,1046.853102
72.285529,911,1071.598247
-36.085833,516,1085.854033
-123.165784,98,1088.602472
-58.49262,331,1096.816792
-122.089676,70,1098.806992
299.36771,1600,1141.293933
308.540396,1600,1183.186278
28.197985,1115,1219.897666
17.081675,684,1236.23784
-1.757161,761,1250.609531
-34.222723,936,1552.54885
3.628569,378,1560.227305
251.785283,1600,1595.766241
-123.495926,90,1597.909469
-134.907431,273,1606.32274
-119.55161,71,1609.236646
232.563648,1600,1658.866844
-96.776614,1600,1713.260454
-32.461931,342,1724.449178
66.263267,1600,1770.68536
137.412011,752,1785.087213
-18.630639,543,1795.227595
-14.205452,403,1802.730484
135.1585,1600,1923.344842
-97.696452,163,1926.316863
84.014371,1600,1954.123688
353.16363,1600,1983.886577
407.543705,1239,2007.639196
-78.160588,1600,2040.110627
-127.942964,1242,2066.473338
-28.891541,799,2083.304062
