#{"t_start": 1766985341.104406, "env_id": "BipedalWalker-v3"}
r,l,t
-123.258913,94,6.514292
-116.322762,62,7.149381
-98.268534,74,7.815337
-100.682392,40,8.172888
-128.609696,138,9.325639
-116.80366,77,10.121768
-113.488579,95,10.914975
-155.662116,741,20.482437
-162.136912,584,35.323159
-101.643802,66,36.549139
-109.124839,81,38.020151
-103.112282,102,39.930557
-107.097808,96,41.829128
-113.180896,115,43.995352
-126.540693,169,47.148366
-110.876713,144,49.763832
-130.886455,72,51.137554
-152.565268,194,54.718858
-103.447705,103,56.642131
-108.441471,41,57.438776
-133.806095,511,66.731988
-124.781922,138,69.205598
-100.818265,196,72.780365
-135.052138,169,75.869351
-117.037025,94,77.678141
-94.8245,86,79.231421
-195.465219,1600,108.994798
-117.728623,75,110.367468
-117.080147,67,111.575777
-118.608057,69,112.94058
-110.364412,127,117.63036
-119.775374,448,134.670684
-87.85629,1600,181.234584
-97.179983,157,185.600708
-103.085811,95,190.96872
-162.486067,1024,412.350677
-101.146335,97,414.643857
-151.991334,740,530.992684
-97.08156,109,532.993592
-87.104963,247,537.728633
-98.717832,99,539.50695
-90.344885,150,542.416872
-122.620765,76,543.771013
-120.218211,96,545.521914
39.821033,1600,577.990605
-107.923997,40,578.870116
-107.539951,40,579.735094
-103.076885,55,580.808617
-105.493281,54,581.87838
-82.576172,125,585.286126
-93.080117,80,587.440123
-106.433102,57,588.781726
-89.807495,131,591.692311
-95.514668,86,593.678691
-98.359158,87,595.828203
-87.776796,159,599.419069
-108.398241,80,601.411855
44.616469,1600,636.926059
-38.289148,1284,664.88551
-0.716608,579,677.344011
73.490074,993,701.593814
397.452695,1454,737.457924
-78.429501,1600,1029.273631
286.170388,1600,1071.86178
-117.63365,65,1073.537522
102.649058,1227,1106.337842
-110.625083,67,1108.097589
-66.75218,298,1116.203781
10.857086,649,1133.7619
-90.51369,233,1139.64476
182.586254,1504,1179.202085
101.920279,952,1209.551746
-66.781463,269,1218.59149
4.906025,648,1234.286497
-28.583421,650,1246.856683
-31.319138,251,1251.361596
37.254955,689,1547.461155
84.024039,1093,1571.192678
85.604354,1475,1608.136684
-113.714562,43,1609.322888
-31.214051,355,1619.822149
69.500415,1600,1671.956515
-16.742899,1600,1724.969153
75.698443,1160,1758.225658
-57.979481,241,1765.081789
54.009436,504,1777.040452
-70.42758,297,1782.422132
17.573858,386,1789.777541
-94.409931,179,1792.939779
160.097125,1253,1907.332376
66.802742,673,1919.612113
79.733856,781,1933.678191
244.330648,1600,1961.374231
411.821786,1223,1984.89706
415.935778,1131,2006.397867
405.0061,1558,2037.78834
-37.051216,1600,2071.750979
-110.623641,580,2084.034387
-116.539716,54,2085.118249
-84.871139,146,2088.522865
