#{"t_start": 1766985341.3758829, "env_id": "BipedalWalker-v3"}
r,l,t
-107.67478,43,5.540698
-100.084485,76,6.494689
-116.966647,151,7.899417
-143.972643,473,12.058627
-107.061924,217,13.968909
-91.5362,100,14.773916
-128.62691,317,23.586457
-141.863138,515,34.815105
-103.451357,89,36.464492
-106.034902,117,38.628973
-104.095705,97,40.483986
-107.512753,104,42.493611
-107.305544,80,44.003493
-108.772414,156,46.898426
-110.508324,137,49.37556
-126.254232,52,50.377236
-106.7519,119,52.591192
-106.434575,58,53.654983
-104.547441,86,55.243124
-106.470919,109,57.318903
-169.818256,1156,78.397191
-100.50315,73,79.755804
-108.840317,44,80.541447
-179.905737,773,95.008145
-249.232172,1402,127.555226
-116.910019,1600,178.238228
-117.971575,417,193.137077
-148.043848,1462,523.69689
-127.752916,255,528.775794
-100.353989,130,531.255347
-99.332921,127,533.530213
-97.589217,81,535.057026
-100.701604,94,536.976618
-79.127714,211,540.84797
-76.312921,363,547.865465
-106.980274,109,549.839466
-84.731131,202,553.751159
-48.452421,1308,580.728129
-109.792826,76,582.351957
-107.289536,41,583.250479
-98.650924,60,585.18364
-93.161236,83,587.444514
-93.083542,76,589.221107
-106.137069,87,591.099128
-93.282379,82,592.971076
-92.960968,73,594.849065
-94.06639,63,596.220588
-96.422309,67,597.706209
-65.706367,240,603.547757
-102.171429,254,609.059921
-118.728482,585,621.910808
-93.648365,82,623.771743
-79.086616,517,635.122968
-113.062389,52,636.396846
-134.263123,151,639.559912
-146.276384,217,644.637236
-66.288455,382,652.814053
-9.881146,863,671.370145
-50.606327,316,678.234535
342.87022,1600,718.343884
288.798532,1600,1000.050345
-18.339919,334,1012.074364
56.400942,666,1034.195592
14.689048,734,1053.180979
-22.159199,572,1069.436984
220.739048,1592,1111.922286
175.571135,1600,1154.102856
95.720334,946,1179.176748
-50.100832,292,1186.805484
-55.103053,310,1194.682376
-79.51275,152,1202.333256
-28.599605,389,1216.527103
17.484759,887,1237.415606
-110.300062,154,1240.205932
-22.470002,458,1248.949826
-22.830242,565,1540.985441
-4.187412,441,1552.153622
59.794183,949,1572.366171
-19.532334,1600,1613.225582
78.065038,1600,1663.315134
-34.861005,1600,1717.433895
-96.589676,1502,1761.38913
356.722854,1600,1794.920538
-91.47906,181,1798.173997
85.584304,1011,1908.068899
46.752908,802,1922.773111
-76.357858,1600,1950.725395
414.253335,1268,1973.496641
210.00095,919,1991.946516
33.135438,567,2002.352729
411.627947,1409,2030.136296
409.160206,1255,2056.84893
-88.216094,159,2060.249795
-126.159248,52,2061.41975
