#{"t_start": 1766985340.5662704, "env_id": "BipedalWalker-v3"}
r,l,t
-116.354922,63,6.731859
-112.610645,87,7.609172
-91.901741,93,8.49443
-101.170507,67,9.050874
-164.69117,1354,31.386049
-105.530295,223,35.51301
-106.151851,85,37.10879
-107.377053,98,38.905487
-102.292343,99,40.798343
-115.078348,92,42.575299
-102.050167,89,44.228709
-107.61576,116,46.423847
-116.198367,45,47.248814
-132.900452,74,48.618972
-125.370272,52,49.557754
-115.939388,42,50.322969
-130.599194,69,51.635678
-136.285799,159,54.578771
-105.423579,82,56.101769
-107.894776,64,57.316935
-151.582711,412,64.804959
-104.848216,52,65.742756
-109.583565,57,66.804847
-95.313175,221,70.779514
-87.477967,153,73.611943
-136.771072,179,76.860027
-101.095893,119,79.092615
-101.341314,62,80.243186
-209.623644,962,98.146673
-119.599468,130,100.571038
-106.20804,62,101.734738
-109.552812,48,102.669712
-104.306565,88,104.312071
-106.684461,94,106.028534
-109.037041,90,107.716613
-116.297634,127,110.014897
-120.531257,85,111.580569
-123.342279,91,113.334684
-117.571652,70,114.632647
-119.620517,72,118.575715
-64.531903,1600,172.534114
-94.092334,88,174.352524
-152.946014,1600,412.205998
-90.174617,404,422.963239
-95.147725,197,526.65103
-103.723427,1600,556.965722
-1.627348,1600,591.682757
-16.388714,1600,627.674545
-56.422095,571,640.257679
-99.635339,1600,675.262049
-77.144674,254,680.834316
229.50359,1409,716.495596
53.018721,589,730.299288
235.460669,1557,1017.164004
-89.088446,121,1022.314084
54.961317,746,1042.435217
121.202226,1131,1073.22288
-112.433749,144,1077.745476
-116.257938,69,1079.502734
329.940748,1600,1121.568488
305.00767,1600,1163.651339
236.347746,1600,1212.361761
-49.822086,407,1223.72748
56.388525,944,1243.904374
38.930201,576,1254.629364
-43.118974,250,1540.884858
138.51519,1600,1576.88325
-71.656671,1600,1619.066044
-81.1586,301,1628.128401
42.394851,1600,1681.317808
-55.229834,1600,1733.722364
-46.927221,1248,1769.230406
-27.016498,317,1776.108817
11.764955,343,1782.258769
-3.166441,351,1788.884925
280.556871,1600,1909.604388
38.974148,540,1919.44262
-46.097106,1600,1947.686165
399.596577,1314,1971.188925
101.647523,678,1984.280997
298.861318,1471,2012.32021
93.522574,1600,2045.361494
-96.335609,354,2052.878665
-94.397431,238,2057.94903
-141.242035,163,2061.534708
-70.355285,165,2065.036703
-108.014574,62,2066.290181
-80.881524,182,2070.134561
