#{"t_start": 1766985341.0398293, "env_id": "BipedalWalker-v3"}
r,l,t
-130.717156,426,9.596897
-103.594601,67,10.266576
-106.619976,51,10.669205
-99.193261,152,12.012483
-124.849179,73,12.62692
-110.355954,36,12.948293
-115.410165,101,13.863321
-126.382613,449,22.293322
-155.918079,570,35.766175
-104.886524,66,36.983423
-113.461396,69,38.231338
-101.443341,100,40.114101
-105.155882,105,42.187585
-102.098411,105,44.159351
-109.24556,120,46.39789
-121.600196,53,47.389761
-114.767248,182,50.738809
-141.881687,156,53.631981
-103.03823,66,54.840981
-103.539189,103,56.776934
-176.945622,652,68.641887
-97.245446,82,70.101714
-95.255242,116,72.249442
-104.259281,80,73.719528
-280.874861,1336,98.524032
-107.926364,101,100.427313
-106.849221,143,103.15331
-99.633459,62,104.269143
-110.840181,68,105.514971
-130.579211,101,107.415219
-116.306686,107,109.338481
-115.560234,74,110.710309
-123.869692,91,112.430753
-121.132443,93,114.315374
-118.860191,74,118.27179
-101.345831,133,121.489922
-119.626706,72,122.891234
-99.309626,736,158.910854
-130.832594,116,161.295713
-89.999877,191,165.171822
-158.988915,1168,198.133118
-101.522157,158,206.387004
-150.366166,686,410.80829
-92.586034,253,417.78262
-106.248187,163,422.253633
-125.787347,135,524.519621
-91.636876,1082,544.969349
-97.206768,117,547.371966
-123.150467,228,551.606128
-125.327754,442,560.539119
27.633176,1600,595.81004
-114.925647,177,599.834016
-131.175174,238,605.598779
-94.439506,529,616.914742
-107.665198,383,625.529305
-51.076784,456,635.563097
-114.816666,68,637.193856
-114.36995,61,638.43647
-34.658985,845,656.912037
-127.903093,293,663.389711
-45.470461,390,671.617498
-14.503106,694,686.725537
-27.934817,412,696.64394
379.512152,1600,737.340897
235.631921,1494,1025.727579
183.213584,1435,1063.894415
147.818102,1407,1102.084368
306.180365,1600,1144.754717
15.051816,557,1158.933187
-18.371884,454,1171.236463
43.576627,707,1189.873225
-29.171878,284,1198.681201
91.90816,959,1229.003909
107.318476,1108,1251.178587
61.030783,1084,1556.296551
-20.28776,431,1565.067632
-41.557811,254,1570.709193
29.993934,500,1582.095431
-177.90547,1600,1625.908623
28.080285,1600,1679.041116
13.768966,1600,1731.559563
70.289129,1283,1767.576478
37.967721,746,1782.955679
257.004965,1519,1901.948508
161.583838,999,1920.720493
245.818239,1370,1944.891993
50.444722,566,1954.605513
118.91009,566,1964.612789
84.223468,578,1975.272585
213.563705,966,1994.6096
408.405833,1059,2014.52627
24.249874,439,2023.24548
-85.105116,1600,2057.094757
-142.658886,138,2060.073243
-39.556475,494,2070.527681
-37.925265,789,2087.530634
