#{"t_start": 1766985340.4700956, "env_id": "BipedalWalker-v3"}
r,l,t
-68.426407,1600,30.127831
-96.624651,130,32.711879
-109.736724,154,35.517719
-104.816849,84,37.114388
-101.686476,127,39.462228
-104.456324,84,41.090512
-108.300876,96,42.952972
-103.50369,89,44.608191
-114.628589,182,48.018009
-117.251028,157,50.85925
-190.274771,916,67.746683
-91.423995,128,70.033598
-96.747422,75,71.34829
-100.203574,100,73.214367
-94.81556,93,74.935686
-97.465573,130,77.392389
-129.792757,646,89.458259
-213.661897,851,105.21289
-109.68736,115,107.327379
-100.438726,99,109.144613
-115.693124,82,110.657979
-117.803583,73,111.977214
-108.573139,113,114.148104
-104.761604,1114,160.894392
-100.276502,1600,207.973603
-216.833531,1541,531.570913
-84.920806,136,534.066609
-100.61095,99,535.911128
-99.245884,96,537.883918
-105.458102,99,539.646096
-86.186683,147,542.46648
-120.879826,77,543.885235
-88.260692,178,547.260752
-96.24354,388,554.746099
-3.807644,1600,589.173102
-72.711834,223,594.198778
-86.35473,119,597.060241
-106.004057,72,598.763453
-94.433406,105,601.138577
-107.718544,266,607.452984
-93.908897,888,626.856454
-117.263762,107,629.162407
-79.551291,350,637.021798
23.174512,793,654.43926
-45.08805,1029,676.682626
-47.742106,531,688.194138
396.914251,1600,729.13571
64.42429,684,745.709499
121.691835,991,1020.668086
44.284813,867,1044.466463
49.902423,768,1064.644627
291.101485,1600,1108.001148
-117.669872,71,1109.800766
-123.838803,122,1113.280459
-115.920921,61,1114.787842
116.567418,1116,1144.552393
13.845691,572,1159.115611
408.688727,1600,1206.801643
-38.436655,281,1216.158313
-52.772501,280,1223.347543
-38.664725,639,1238.127206
-13.502743,441,1246.5722
260.221461,1600,1561.454113
185.484454,1600,1597.224377
-130.438364,161,1601.578388
-127.107974,393,1614.641961
-114.863108,43,1615.83619
-18.93014,742,1638.38822
-27.220246,1600,1692.621099
172.353546,1600,1743.275539
13.782969,1146,1774.617871
-115.891673,114,1776.63026
192.771267,996,1794.94058
27.435156,619,1806.49386
-8.137836,340,1903.479668
-36.521629,232,1908.181638
307.054698,1600,1936.977574
359.538778,1600,1964.860717
171.463919,988,1983.824618
303.464343,1600,2014.44786
73.81281,1600,2047.834433
-45.434405,739,2063.41007
